,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
200,107,BUJAO PRETO 150#  3/4 NPT PC (4004),CONX - FERRO MALEAVEL - TUPY,TUPY,37,"R$ 162,40",0.7%,1250,03/01/2023,28/10/2022,Crítico,5.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1453,108,UNIAO PRETA CL A/B 300# 1/2 NPT PC (1795),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 126,52",0.5%,1267,16/06/2017,11/10/2022,Crítico,5.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
493,12,ER ADAPTADOR ROSCA MACHO EME-F/ADE ALUMINIO 1.1/2 PC (6760),ACESS - ENGATES - CAMLOK,GABITEC,3,"R$ 79,82",1.1%,1182,01/12/2022,04/01/2023,Crítico,5.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
973,29,PONTA ROSCA INOX 316 150# LR 2 PC (7327),CONX - INOX - ROSCAVEL,IMPORTADO,33,"R$ 1.308,58",5.2%,594,04/10/2022,14/08/2024,Alto,5.6%,A (70% do valor),Campanha comercial agressiva
314,30,COTOVELO A/C 45GR A105 2000L NPT 2 ID PC (15062),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,10,"R$ 520,33",2.5%,979,07/06/2023,26/07/2023,Crítico,5.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1144,28,REDUCAO INOX 304 CONC.SCH 10  3 X 3/4 PC (15186),CONX - INOX - SOLDA TOPO,NACIONAL,2,"R$ 183,58",0.4%,1278,26/09/2022,30/09/2022,Crítico,5.6%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1010,32,PPR AZUL REGISTRO ESFERA  63MM PC (12817),TUBO - PVC - PPR,TOP FUSION,3,"R$ 1.318,44",4.6%,676,08/07/2024,24/05/2024,Alto,5.6%,A (70% do valor),Campanha comercial agressiva
556,37,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105 10 - IMP PC (434),CONX - CARBONO - FLANGES,GIDEOLI,2,"R$ 1.002,42",1.7%,1084,10/04/2023,12/04/2023,Crítico,5.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
937,29,PESTANA INOX 304/L SCH40 LONGA MSS-SP  1.1/2 PC (12178),CONX - INOX - SOLDA TOPO,IMPORTADO,3,"R$ 169,07",0.4%,1274,18/10/2018,04/10/2022,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
368,14,CRUZETA GALV. 3 - IMP PC (9248),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,5,"R$ 637,84",5.4%,543,31/10/2024,04/10/2024,Alto,5.5%,A (70% do valor),Campanha comercial agressiva
1352,3,TUBETE P/HIDRO.PP 3/4 CURTO PC (5298),INDI - MEDICAO - VAZAO,POLIERG,20,"R$ 17,40",3.4%,838,29/06/2023,14/12/2023,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1361,11,"TUBO ACO S/C SCH 40  1.1/4 API5L/A106 GR.B (42,20x3,56)-I.D2 KG (15616)",TUBO - CARBONO - CONDUCAO,IMP.GIDEOLI,38,"R$ 336,67",2.0%,1028,04/04/2023,07/06/2023,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
28,29,ADAPT PVC SOLDAVEL CTO 110 X 4 - CORR PC (3008),CONX - PVC - PREDIAL,CORR PLASTIK,5,"R$ 140,75",5.9%,475,25/04/2022,11/12/2024,Obsoleto,5.5%,A (70% do valor),Promover com desconto controlado
1126,40,REDUCAO A/C EXC.SCH STD S/C ASTM A234 WPB 10 X 6 I.D PC (15044),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,5,"R$ 1.793,91",4.4%,683,18/12/2024,17/05/2024,Alto,5.5%,A (70% do valor),Campanha comercial agressiva
925,8,"PERFIL U DOBR. 200x60x4,75x6000mm LT CHP LT KG (17760)",FERR - CARBONO - PERFIL,GIDEOLI,205,"R$ 1.187,15",5.6%,519,28/10/2024,28/10/2024,Obsoleto,5.5%,C (10% do valor),Promover com desconto controlado
240,3,"CHAPA  INOX 430  3,00 X 1240 X 3000MM 2B IMP - 89,30kg/pc KG (10163)",CHPP - INOX - LISO,APERAM,1,"R$ 13,59",0.0%,1314,03/12/2020,25/08/2022,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
889,17,PARAF SEXT INOX  12 X 40MM PC (12889),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,7,"R$ 20,21",1.1%,1162,04/08/2020,24/01/2023,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
311,31,COTOVELO A/C 45GR A105 2000L NPT 1 ID PC (15059),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,6,"R$ 108,65",0.5%,1236,23/06/2022,11/11/2022,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1313,15,TE RED.GALV. 1.1/2 X 1.1/4 - IMP PC (13943),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,4,"R$ 75,53",0.6%,1219,30/10/2020,28/11/2022,Crítico,5.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
818,15,"MAN.ANG. 63MM  2,5KGF/CM2 X 40PSI CX.INOX R1/4 NPT LATAO - GIDEOLI PC (16271)",INDI - MEDICAO - PRESSAO,,2,"R$ 161,02",2.6%,938,05/02/2024,05/09/2023,Crítico,5.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1103,41,REDUCAO A/C CONC.SCH 80 S/C ASTM A234 WPB  3 X 2.1/2 PC (13543),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 103,06",0.2%,1267,29/08/2022,11/10/2022,Crítico,5.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1018,33,PPR AZUL UNIAO COM FLANGE  20MM PC (11909),TUBO - PVC - PPR,TOP FUSION,2,"R$ 68,33",0.2%,1267,25/08/2021,11/10/2022,Crítico,5.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1016,33,PPR AZUL TE RED. 90 X 63MM PC (15452),TUBO - PVC - PPR,TOP FUSION,4,"R$ 160,02",0.6%,1223,24/04/2024,24/11/2022,Crítico,5.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1204,30,TAMPAO INOX 304/L ROSCA 150LBS 2 BSP PC (10303),CONX - INOX - ROSCAVEL,IMPORTADO,9,"R$ 671,40",2.7%,910,22/09/2023,03/10/2023,Crítico,5.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1506,8,VALV.ESF.TRIP.WCB DRM 300  1/2 PP TR AC/HC BW - MGA PC (4262),VALV - ESFERA - WCB,MGA,3,"R$ 845,75",2.4%,950,30/01/2024,24/08/2023,Crítico,5.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
861,109,NIPLE DUPLO PRETO 300#  3/4 NPT PC (1401),CONX - FERRO MALEAVEL - TUPY,TUPY,55,"R$ 474,94",2.0%,1001,22/11/2023,04/07/2023,Crítico,5.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
643,13,FLANGE INOX 316/L SO RF ANSI B16.5 150LBS 3 - I.D PC (17637),CONX - INOX - FLANGES,IMP.GIDEOLI,16,"R$ 3.605,27",6.0%,431,18/12/2024,24/01/2025,Obsoleto,5.4%,A (70% do valor),Promover com desconto controlado
665,8,INC-ABRIGO EMBUTIR P/MANG. 90X60X30CM PC (6365),INCN - HIDRAULICA - ABRIGO,HERM,1,"R$ 140,73",2.1%,980,17/09/2016,25/07/2023,Crítico,5.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
15,32,"ABRACADEIRA INOX 304 TC  12,75 A 19,50MM-1/2 A 3/4 PC (11617)",CONX - INOX - SANITARIO,IMPORTADO,14,"R$ 203,59",0.6%,1198,14/02/2018,19/12/2022,Crítico,5.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
497,13,ER ADAPTADOR TAMPAO EMT-DP/TAC INOX 316 3 PC (15943),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 423,05",5.9%,441,30/01/2025,14/01/2025,Obsoleto,5.4%,A (70% do valor),Promover com desconto controlado
1217,110,TE 45 GALV. 2.1/2 - TUPY PC (3274),CONX - FERRO MALEAVEL - TUPY,TUPY,3,"R$ 211,86",0.9%,1155,22/09/2016,31/01/2023,Crítico,5.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
471,14,ER ACOPLADOR ROSCA FEMEA EFI-D/ACI ALUMINIO 1.1/2 IMP PC (13920),ACESS - ENGATES - CAMLOK,IMPORTADO,9,"R$ 404,01",5.6%,475,09/07/2021,11/12/2024,Obsoleto,5.3%,A (70% do valor),Promover com desconto controlado
441,30,CURVA INOX 304/L 90GR SOLDA A403 SCH40 3 PC (16055),CONX - INOX - SOLDA TOPO,DIV.,8,"R$ 1.452,62",3.2%,823,08/11/2023,29/12/2023,Crítico,5.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
986,6,PORCA SEXT PESADA ASTM A194 2H UNC 3/4 IMP PC (17781),FIXA - PARAFUSOS - PORCAS,BELENUS,32,"R$ 51,61",6.0%,405,11/11/2024,19/02/2025,Obsoleto,5.3%,B (20% do valor),Promover com desconto controlado
403,42,CURVA A/C 45 SCH 40 S/C ASTM A234 WPB 12 PC (4627),CONX - CARBONO - SOLDA TOPO,IMPORTADO,3,"R$ 1.304,68",3.2%,809,12/12/2023,12/01/2024,Crítico,5.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
330,31,COTOVELO INOX 304 90GR 150LBS ROSCA BSP 4 - I.D. PC (12980),CONX - INOX - ROSCAVEL,IMP.GIDEOLI,10,"R$ 1.021,81",4.1%,684,16/01/2020,16/05/2024,Alto,5.3%,A (70% do valor),Campanha comercial agressiva
104,8,AR-TEE CENTRAL 12MM X 1/4 BSP PC (14138),PNHD - PNEUMATICA - CONEXOES,E-MC,16,"R$ 165,98",5.4%,483,23/08/2021,03/12/2024,Obsoleto,5.3%,A (70% do valor),Promover com desconto controlado
90,27,AR-KIT REPARO P/FILTRO REGULADOR DE AR LINHA G - GFR4000-KR IMP PC (15677),VALV - CONTROLE - SOLENOIDE,STNC,7,"R$ 303,93",1.0%,1111,13/06/2023,16/03/2023,Crítico,5.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
580,38,FLANGE A/C SO RF ANSI B16.5 CL.150LBS ASTM A-105 16 - IMP PC (10363),CONX - CARBONO - FLANGES,GIDEOLI,2,"R$ 1.673,62",2.8%,854,24/11/2023,28/11/2023,Crítico,5.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
638,14,FLANGE INOX 304/L SO RF ANSI B16.5 150LBS  6 PC (17497),CONX - INOX - FLANGES,GIDEOLI,7,"R$ 2.936,14",4.8%,561,12/08/2024,16/09/2024,Alto,5.2%,B (20% do valor),Campanha comercial agressiva
1123,43,REDUCAO A/C EXC.SCH 80 S/C ASTM A234 WPB  3 X 2 PC (14393),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 86,14",0.2%,1225,15/07/2021,22/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1096,44,REDUCAO A/C CONC.SCH 80 S/C ASTM A234 WPB  2 X 1.1/2 PC (14),CONX - CARBONO - SOLDA TOPO,IMPORTADO,5,"R$ 233,50",0.6%,1169,09/05/2023,17/01/2023,Crítico,5.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
414,45,CURVA A/C 90 SCH 80 S/C RL ASTM A234 WPB 5 PC (6332),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 188,49",0.5%,1181,22/09/2016,05/01/2023,Crítico,5.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1481,18,VALV.ESF.TRIP.CF8 1000WOG 4 TI PP TP BSP - I.D.PS PC (14842),VALV - ESFERA - CF8,IMP.GIDEOLI,1,"R$ 932,65",2.9%,823,14/03/2022,29/12/2023,Crítico,5.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
179,111,BUCHA RED.PRETA 150# 1/2 X 3/8 NPT PC (792),CONX - FERRO MALEAVEL - TUPY,TUPY,19,"R$ 68,50",0.3%,1204,22/11/2023,13/12/2022,Crítico,5.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1108,46,REDUCAO A/C CONC.SCH STD S/C ASTM A234 WPB 12 X 8 I.D PC (15039),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,4,"R$ 705,22",1.7%,995,19/03/2024,10/07/2023,Crítico,5.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1344,9,TERM.RETO CARB.  80MM 0-250C H/150MM R1/4 BSP - GIDEOLI PC (15539),INDI - MEDICAO - TEMPERATURA,FAMABRAS,2,"R$ 282,73",5.1%,516,05/02/2024,31/10/2024,Obsoleto,5.2%,C (10% do valor),Promover com desconto controlado
234,30,CAP PVC SOLDAVEL  85MM PC (2402),CONX - PVC - PREDIAL,AMANCO,6,"R$ 27,12",1.1%,1079,10/05/2019,17/04/2023,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
452,112,CURVA RETORNO GALV. 3/4 - TUPY PC (2770),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 11,62",0.1%,1237,20/10/2020,10/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
295,113,COTOVELO 90R GALV.   1/2 X 1/4 - TUPY PC (3829),CONX - FERRO MALEAVEL - TUPY,TUPY,9,"R$ 19,72",0.1%,1229,22/09/2016,18/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1444,33,"UNIAO INOX SOLDA SMS 304 101,60MM-4 I.D. PC (13126)",CONX - INOX - SANITARIO,IMP.GIDEOLI,15,"R$ 1.748,43",5.2%,500,01/11/2022,16/11/2024,Obsoleto,5.2%,A (70% do valor),Promover com desconto controlado
1027,34,"PPR FITA PARA REVESTIMENTO COM ANTI U.V AZUL 55MM X 0,3MM X 50MTS PC (11381)",TUBO - PVC - PPR,TOP FUSION,4,"R$ 965,54",3.3%,761,26/03/2024,29/02/2024,Crítico,5.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1157,32,REDUCAO INOX 304 EXC.SCH 10 2 X 1.1/2 PC (713),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 42,53",0.1%,1225,20/08/2021,22/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
553,39,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105  2 - I.D.PS PC (12477),CONX - CARBONO - FLANGES,IMP.GIDEOLI,2,"R$ 88,67",0.1%,1218,15/12/2021,29/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
186,32,BUJAO A/C A105 3000L NPT  3/4 ID.PS PC (14852),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,1,"R$ 6,18",0.0%,1230,14/03/2022,17/11/2022,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
828,16,MAN.RETO 100MM PRENSA 60TON CX.CARBONO R1/2 NPT LATAO - GIDEOLI PC (177),INDI - MEDICAO - PRESSAO,FAMABRAS,1,"R$ 132,37",2.1%,929,01/09/2023,14/09/2023,Crítico,5.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
329,32,COTOVELO INOX 304 90GR 150LBS ROSCA BSP 2.1/2 PC (8610),CONX - INOX - ROSCAVEL,IMPORTADO,2,"R$ 241,77",1.0%,1096,18/10/2021,31/03/2023,Crítico,5.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
780,33,LUVA INOX 304 3000# 3/8 NPT PC (14704),CONX - INOX - ROSCAVEL,IMPORTADO,9,"R$ 177,65",0.7%,1127,03/12/2021,28/02/2023,Crítico,5.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1323,114,TE RED.GALV. 4 X 2 - TUPY PC (3267),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 120,93",0.5%,1156,22/09/2017,30/01/2023,Crítico,5.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1598,11,VALV.RET.T/DISCO ROSCA TRIP. INOX 316 VRT  3/4 BSP - SF PC (8062),VALV - RETENCAO - INOX,SF.BRASIL,1,"R$ 205,18",1.9%,959,10/10/2016,15/08/2023,Crítico,5.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
388,16,CURVA 90 GALV. MACHO 2.1/2 - IMP PC (13214),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,5,"R$ 544,36",4.6%,557,24/10/2024,20/09/2024,Alto,5.1%,A (70% do valor),Campanha comercial agressiva
695,17,INC-SINAL.FOTOL.BOMBA BOTAO 13 X 16CM PC (7987),INCN - ACESSORIOS - SINALIZACAO,ALIEX,10,"R$ 28,56",1.6%,993,26/12/2017,12/07/2023,Crítico,5.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
517,8,FILTRO Y BRONZE FIG 1801 1/2 BSP PC (11131),INDI - ACESSORIOS - FILTROS,DULONG,9,"R$ 381,76",4.8%,526,13/02/2023,21/10/2024,Obsoleto,5.1%,C (10% do valor),Promover com desconto controlado
888,18,PARAF SEXT BICROMATIZADO UNC 3/8 X 2 RI PC (17164),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,150,"R$ 80,81",4.3%,595,15/05/2024,13/08/2024,Alto,5.1%,B (20% do valor),Campanha comercial agressiva
1349,10,TRANSMISSOR DE TEMPERATURA LDX -50/300C PT100 PC (13347),INDI - MEDICAO - TEMPERATURA,DIGIMEC,1,"R$ 134,36",2.4%,869,10/11/2020,13/11/2023,Crítico,5.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1342,10,TERM.ANGULAR INOX 304 100MM 0-350C H/150MM R1/2 BSP - GIDEOLI PC (2648),INDI - MEDICAO - TEMPERATURA,FAMABRAS,1,"R$ 330,00",5.9%,364,24/09/2024,01/04/2025,Obsoleto,5.1%,B (20% do valor),Promover com desconto controlado
226,33,CAP INOX 304/L SOLDA A403 SCH10  8 - IMP PC (12158),CONX - INOX - SOLDA TOPO,IMPORTADO,2,"R$ 646,08",1.4%,1009,23/10/2023,26/06/2023,Crítico,5.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
773,115,LUVA GALV. CL 150# 3/4  NPT PC (917),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 2,18",0.0%,1210,22/09/2016,07/12/2022,Crítico,5.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1047,35,PPR VERDE TUBO PN 20 75MM X 3MTS (AQ/AF) BR (5116),TUBO - PVC - PPR,TOP FUSION,1,"R$ 185,43",0.6%,1119,07/03/2023,08/03/2023,Crítico,5.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1129,34,REDUCAO INOX 304 CONC.OD 4 X 1.1/2 PIPE - I.D. PC (13079),CONX - INOX - SANITARIO,IMP.GIDEOLI,15,"R$ 773,98",2.3%,881,16/01/2020,01/11/2023,Crítico,5.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
688,18,"INC-SINAL.FOTOL.30HR BOTAO ALARME 13X16CM PVC 0,50MM PC (9610)",INCN - ACESSORIOS - SINALIZACAO,ALIEX,3,"R$ 13,92",0.8%,1096,15/04/2019,31/03/2023,Crítico,5.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
321,33,COTOVELO A/C 90GR A105 3000L SW 2.1/2 PC (7078),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,1,"R$ 209,74",1.0%,1061,30/07/2020,05/05/2023,Crítico,5.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
180,116,BUCHA RED.PRETA 150# 3/4 X 1/2 NPT PC (4002),CONX - FERRO MALEAVEL - TUPY,TUPY,34,"R$ 236,53",1.0%,1056,22/11/2023,10/05/2023,Crítico,5.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
380,117,CURVA 90 GALV. FEMEA    3/8 - TUPY PC (3186),CONX - FERRO MALEAVEL - TUPY,TUPY,5,"R$ 20,99",0.1%,1180,22/09/2016,06/01/2023,Crítico,5.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1413,35,UNIAO A/C A105 3000L A/I NPT  3/4 PC (1987),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,2,"R$ 59,17",0.3%,1149,18/05/2020,06/02/2023,Crítico,5.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
731,8,JUNTA EXP.BORR.EPDM FLG DIN PN10 150# WCB  2 Imp. PC (17541),ACESS - JUNTAS - EXPANSAO,GENEBRE,2,"R$ 329,37",4.2%,579,29/08/2024,29/08/2024,Alto,4.9%,C (10% do valor),Campanha comercial agressiva
724,8,JUNTA EXP.BORR.EPDM DUPLA ROSCA BSP GALV. 1 PC (16510),ACESS - JUNTAS - EXPANSAO,MECH,4,"R$ 306,72",3.9%,620,22/08/2024,19/07/2024,Alto,4.9%,C (10% do valor),Campanha comercial agressiva
422,34,CURVA INOX 304/L 45GR SOLDA A403 SCH10   1/2 PC (14765),CONX - INOX - SOLDA TOPO,NACIONAL,18,"R$ 158,64",0.3%,1132,21/03/2023,23/02/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
83,9,AR-COTOVELO UNIAO 16MM PC (13936),PNHD - PNEUMATICA - CONEXOES,E-MC,19,"R$ 166,07",5.4%,396,27/01/2025,28/02/2025,Obsoleto,4.9%,A (70% do valor),Promover com desconto controlado
1358,12,"TUBO ACO S/C SCH 40   3/4 A106 GR.B (26,67X2,87) KG (105)",TUBO - CARBONO - CONDUCAO,NACIONAL,13,"R$ 262,96",1.6%,949,03/08/2021,25/08/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
149,28,BOBINA SOLENOIDE AICA T-30 220V/60HZ - PN 214003 11MM PC (9981),VALV - CONTROLE - SOLENOIDE,BGT/AICA,21,"R$ 1.129,98",3.9%,623,28/02/2023,16/07/2024,Alto,4.9%,A (70% do valor),Campanha comercial agressiva
8,11,ABRAC. TIPO U VERGALHAO  3/4 X 5/16 GE PC (9984),FIXA - ACESS - ABRACADEIRAS,SUPERA,1,"R$ 4,06",0.2%,1145,10/02/2023,10/02/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1146,35,REDUCAO INOX 304 CONC.SCH 10  4 X 2.1/2 - I.D. PC (12927),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,20,"R$ 1.754,53",3.8%,628,18/12/2024,11/07/2024,Alto,4.9%,A (70% do valor),Campanha comercial agressiva
82,10,AR-COTOVELO UNIAO 04MM PC (10588),PNHD - PNEUMATICA - CONEXOES,E-MC,20,"R$ 17,82",0.6%,1093,26/09/2016,03/04/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
376,118,CURVA 45 GALV. MACHO FEMEA  1.1/4 - TUPY PC (3215),CONX - FERRO MALEAVEL - TUPY,TUPY,3,"R$ 30,25",0.1%,1153,22/09/2016,02/02/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
223,36,CAP INOX 304/L SOLDA A403 SCH10  2.1/2 - IMP. PC (8181),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 31,61",0.1%,1162,20/10/2021,24/01/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
623,15,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  2.1/2 - I.D. PC (15776),CONX - INOX - FLANGES,IMP.GIDEOLI,9,"R$ 1.246,85",2.1%,873,14/08/2023,09/11/2023,Crítico,4.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
622,16,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  2 - IMP PC (1211),CONX - INOX - FLANGES,GIDEOLI,4,"R$ 912,98",1.5%,951,03/07/2023,23/08/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
203,119,BUJAO PRETO 150# 1.1/4 NPT PC (239),CONX - FERRO MALEAVEL - TUPY,TUPY,11,"R$ 60,45",0.2%,1132,14/11/2019,23/02/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
289,119,COTOVELO 90 PRETO CL 300# 1.1/4 NPT PC (3342),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 25,44",0.1%,1152,04/06/2019,03/02/2023,Crítico,4.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
140,9,"BARRA REDONDA ACO TREF 1020  50,80 (2) - 16 kg/mt KG (9897)",FERR - CARBONO - BARRAS,NACIONAL,4,"R$ 21,04",0.3%,1114,14/02/2018,13/03/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
806,120,LUVA RED.PRETA 150# 1.1/4 X 1 NPT - TUPY PC (7934),CONX - FERRO MALEAVEL - TUPY,TUPY,2,"R$ 10,10",0.0%,1148,22/09/2016,07/02/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1273,37,TE INOX 304/L SCH 10 2 PC (4690),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 45,31",0.1%,1139,12/07/2019,16/02/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
928,38,PESTANA INOX 304/L SCH10 CURTA 14-  NAC PC (16261),CONX - INOX - SOLDA TOPO,,4,"R$ 1.170,95",2.5%,783,29/01/2024,07/02/2024,Crítico,4.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
965,11,POL-MINI RODA 75X25 Gr600 PC (16240),CONS - ACESS - POLIMENTO,ALPHA,3,"R$ 53,84",4.9%,441,07/08/2023,14/01/2025,Obsoleto,4.8%,B (20% do valor),Promover com desconto controlado
413,47,CURVA A/C 90 SCH 80 S/C RL ASTM A234 WPB 4 PC (6321),CONX - CARBONO - SOLDA TOPO,IMPORTADO,15,"R$ 1.391,21",3.4%,648,12/12/2023,21/06/2024,Alto,4.8%,A (70% do valor),Campanha comercial agressiva
1597,12,VALV.RET.T/DISCO ROSCA INOX 304 FIG 2416 04 1/2 BSP PC (14744),VALV - RETENCAO - INOX,IMPORTADO,1,"R$ 73,08",0.7%,1047,13/12/2022,19/05/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
696,19,INC-SINAL.FOTOL.CASA BOMBA INCENDIO PC (9788),INCN - ACESSORIOS - SINALIZACAO,ALIEX,2,"R$ 5,54",0.3%,1096,17/09/2016,31/03/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
106,11,AR-TEE TUBO 04MM PC (10591),PNHD - PNEUMATICA - CONEXOES,E-MC,53,"R$ 63,14",2.1%,840,26/09/2016,12/12/2023,Crítico,4.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
271,17,COTOVELO 45 GALV. 1.1/4  - IMP PC (10389),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,13,"R$ 155,60",1.3%,946,22/03/2024,28/08/2023,Crítico,4.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
97,9,AR-REGULADOR PRESSAO 3/4 CPTO TR4000 - STNC PC (16370),PNHD - PNEUMATICA - PREPARACAO,IMPORTADO,1,"R$ 239,01",2.9%,720,23/01/2024,10/04/2024,Crítico,4.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
